brand_name,evaluation,brand_id
Sinsay,This company did not respond to our request for information and makes no information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.,
Mohito,This company did not respond to our request for information and makes no information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.,
Cropp,This company did not respond to our request for information and makes no information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.,
Promostars,This company did not respond to our request for information and makes no information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.,
M&S Collection,Marks & Spencer (M&S) is undertaking significant work to make sure that the prices it pays are enough to ensure the basic needs of its workers are met. The companys Plan A commitment to pay a living wage is commendable. M&S has yet to disclose the figures it is using to benchmark a living wage and much of its model relies heavily on purchasing practices  without real data we remain unsure about the real progress being made.,
Limited Collection,Marks & Spencer (M&S) is undertaking significant work to make sure that the prices it pays are enough to ensure the basic needs of its workers are met. The companys Plan A commitment to pay a living wage is commendable. M&S has yet to disclose the figures it is using to benchmark a living wage and much of its model relies heavily on purchasing practices  without real data we remain unsure about the real progress being made.,
Per Una,Marks & Spencer (M&S) is undertaking significant work to make sure that the prices it pays are enough to ensure the basic needs of its workers are met. The companys Plan A commitment to pay a living wage is commendable. M&S has yet to disclose the figures it is using to benchmark a living wage and much of its model relies heavily on purchasing practices  without real data we remain unsure about the real progress being made.,
North Coast,Marks & Spencer (M&S) is undertaking significant work to make sure that the prices it pays are enough to ensure the basic needs of its workers are met. The companys Plan A commitment to pay a living wage is commendable. M&S has yet to disclose the figures it is using to benchmark a living wage and much of its model relies heavily on purchasing practices  without real data we remain unsure about the real progress being made.,
Portfolio,Marks & Spencer (M&S) is undertaking significant work to make sure that the prices it pays are enough to ensure the basic needs of its workers are met. The companys Plan A commitment to pay a living wage is commendable. M&S has yet to disclose the figures it is using to benchmark a living wage and much of its model relies heavily on purchasing practices  without real data we remain unsure about the real progress being made.,
Indigo Collection,Marks & Spencer (M&S) is undertaking significant work to make sure that the prices it pays are enough to ensure the basic needs of its workers are met. The companys Plan A commitment to pay a living wage is commendable. M&S has yet to disclose the figures it is using to benchmark a living wage and much of its model relies heavily on purchasing practices  without real data we remain unsure about the real progress being made.,
Autograph,Marks & Spencer (M&S) is undertaking significant work to make sure that the prices it pays are enough to ensure the basic needs of its workers are met. The companys Plan A commitment to pay a living wage is commendable. M&S has yet to disclose the figures it is using to benchmark a living wage and much of its model relies heavily on purchasing practices  without real data we remain unsure about the real progress being made.,421
Classic,Marks & Spencer (M&S) is undertaking significant work to make sure that the prices it pays are enough to ensure the basic needs of its workers are met. The companys Plan A commitment to pay a living wage is commendable. M&S has yet to disclose the figures it is using to benchmark a living wage and much of its model relies heavily on purchasing practices  without real data we remain unsure about the real progress being made.,
Blue Harbour,Marks & Spencer (M&S) is undertaking significant work to make sure that the prices it pays are enough to ensure the basic needs of its workers are met. The companys Plan A commitment to pay a living wage is commendable. M&S has yet to disclose the figures it is using to benchmark a living wage and much of its model relies heavily on purchasing practices  without real data we remain unsure about the real progress being made.,
Collezione,Marks & Spencer (M&S) is undertaking significant work to make sure that the prices it pays are enough to ensure the basic needs of its workers are met. The companys Plan A commitment to pay a living wage is commendable. M&S has yet to disclose the figures it is using to benchmark a living wage and much of its model relies heavily on purchasing practices  without real data we remain unsure about the real progress being made.,
Savile Row Inspired,Marks & Spencer (M&S) is undertaking significant work to make sure that the prices it pays are enough to ensure the basic needs of its workers are met. The companys Plan A commitment to pay a living wage is commendable. M&S has yet to disclose the figures it is using to benchmark a living wage and much of its model relies heavily on purchasing practices  without real data we remain unsure about the real progress being made.,
Big & Tall,Marks & Spencer (M&S) is undertaking significant work to make sure that the prices it pays are enough to ensure the basic needs of its workers are met. The companys Plan A commitment to pay a living wage is commendable. M&S has yet to disclose the figures it is using to benchmark a living wage and much of its model relies heavily on purchasing practices  without real data we remain unsure about the real progress being made.,
Mango,"Mango has yet to make any commitments at all to ensure workers in its supplier factories receive a living wage, even in its own code of conduct, although it claims it does agree with our definition of a living wage. A living wage must be paid as a basic salary, excluding any extra, discretionary bonuses, as it is only the basic wage that workers can be sure of receiving. Simply encouraging suppliers will not be sufficient to ensure wages are improved to a living-wage level.",268
H.E. by Mango,"Mango has yet to make any commitments at all to ensure workers in its supplier factories receive a living wage, even in its own code of conduct, although it claims it does agree with our definition of a living wage. A living wage must be paid as a basic salary, excluding any extra, discretionary bonuses, as it is only the basic wage that workers can be sure of receiving. Simply encouraging suppliers will not be sufficient to ensure wages are improved to a living-wage level.",
Mango Kids,"Mango has yet to make any commitments at all to ensure workers in its supplier factories receive a living wage, even in its own code of conduct, although it claims it does agree with our definition of a living wage. A living wage must be paid as a basic salary, excluding any extra, discretionary bonuses, as it is only the basic wage that workers can be sure of receiving. Simply encouraging suppliers will not be sufficient to ensure wages are improved to a living-wage level.",
Violeta,"Mango has yet to make any commitments at all to ensure workers in its supplier factories receive a living wage, even in its own code of conduct, although it claims it does agree with our definition of a living wage. A living wage must be paid as a basic salary, excluding any extra, discretionary bonuses, as it is only the basic wage that workers can be sure of receiving. Simply encouraging suppliers will not be sufficient to ensure wages are improved to a living-wage level.",
Mexx,This company did not respond to our request for information and makes no information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.,
New Balance,"New Balance (NB) is doing very little to ensure that a living wage is paid to workers in its supply chain. Without any definition of what a living wage is, or projects to work towards this, its commitment to making sure a wage meets workers basic needs remains a paper promise.",
Aravon,"New Balance (NB) is doing very little to ensure that a living wage is paid to workers in its supply chain. Without any definition of what a living wage is, or projects to work towards this, its commitment to making sure a wage meets workers basic needs remains a paper promise.",
Warrior,"New Balance (NB) is doing very little to ensure that a living wage is paid to workers in its supply chain. Without any definition of what a living wage is, or projects to work towards this, its commitment to making sure a wage meets workers basic needs remains a paper promise.",
Brine,"New Balance (NB) is doing very little to ensure that a living wage is paid to workers in its supply chain. Without any definition of what a living wage is, or projects to work towards this, its commitment to making sure a wage meets workers basic needs remains a paper promise.",
PF Flyers,"New Balance (NB) is doing very little to ensure that a living wage is paid to workers in its supply chain. Without any definition of what a living wage is, or projects to work towards this, its commitment to making sure a wage meets workers basic needs remains a paper promise.",
Dunham,"New Balance (NB) is doing very little to ensure that a living wage is paid to workers in its supply chain. Without any definition of what a living wage is, or projects to work towards this, its commitment to making sure a wage meets workers basic needs remains a paper promise.",
Cobb Hill,"New Balance (NB) is doing very little to ensure that a living wage is paid to workers in its supply chain. Without any definition of what a living wage is, or projects to work towards this, its commitment to making sure a wage meets workers basic needs remains a paper promise.",
New Look,"New Look has started to use wage ladders to benchmark wages, and is doing interesting work in China and Bangladesh. More work is needed on pricing commitments.",
Next,"Next is taking a collaborative approach to the living-wage issue by working on improving freedom of association (FOA) in Turkey. However, this long-term strategy still lacks living- wage benchmarks and any commitment to address price, which is disappointing.",329
Nike,"Nike supports the principle of a living wage, but in practice little is as yet being done to increase wages above the minimum level.",
Nike Golf,"Nike supports the principle of a living wage, but in practice little is as yet being done to increase wages above the minimum level.",
Jordan,"Nike supports the principle of a living wage, but in practice little is as yet being done to increase wages above the minimum level.",
Hurley,"Nike supports the principle of a living wage, but in practice little is as yet being done to increase wages above the minimum level.",
Converse,"Nike supports the principle of a living wage, but in practice little is as yet being done to increase wages above the minimum level.",
Orsay,Orsay has just added language about a living wage into its policy. This is a good first step but there is a long way to go.,
Berghaus,"Pentland says in its code that living wages must be paid but in practice, as a company, it only pays the minimum wage. We hope that mooted collaborative work on living wages progresses soon.",
Boxfresh,"Pentland says in its code that living wages must be paid but in practice, as a company, it only pays the minimum wage. We hope that mooted collaborative work on living wages progresses soon.",
Brasher,"Pentland says in its code that living wages must be paid but in practice, as a company, it only pays the minimum wage. We hope that mooted collaborative work on living wages progresses soon.",
Canterbury,"Pentland says in its code that living wages must be paid but in practice, as a company, it only pays the minimum wage. We hope that mooted collaborative work on living wages progresses soon.",
Ellesse,"Pentland says in its code that living wages must be paid but in practice, as a company, it only pays the minimum wage. We hope that mooted collaborative work on living wages progresses soon.",
Kangaroos,"Pentland says in its code that living wages must be paid but in practice, as a company, it only pays the minimum wage. We hope that mooted collaborative work on living wages progresses soon.",
Mitre,"Pentland says in its code that living wages must be paid but in practice, as a company, it only pays the minimum wage. We hope that mooted collaborative work on living wages progresses soon.",
Prostar,"Pentland says in its code that living wages must be paid but in practice, as a company, it only pays the minimum wage. We hope that mooted collaborative work on living wages progresses soon.",
Red or Dead,"Pentland says in its code that living wages must be paid but in practice, as a company, it only pays the minimum wage. We hope that mooted collaborative work on living wages progresses soon.",
Speedo. License holders for Lacoste Chaussures,"Pentland says in its code that living wages must be paid but in practice, as a company, it only pays the minimum wage. We hope that mooted collaborative work on living wages progresses soon.",
Ted Baker footwear and Kickers in the UK and Ireland,"Pentland says in its code that living wages must be paid but in practice, as a company, it only pays the minimum wage. We hope that mooted collaborative work on living wages progresses soon.",
Pimkie,"Although we welcome the sensitivity felt by Pimkie towards the living wage, not enough is yet being done to make this a reality. There is also no evidence of a strategy in place by which Pimkie can work towards the implementation of a living wage within its supply chain.",
Primark,"Primarks submission shows some proof of real work that strategy level, projects are still at pilot or research stage will improve wages for workers making its clothes and and rely heavily on Ethical Trading Initiative (ETI) base code a high level of commitment and practice. However, at a rather than long-term building blocks to pay a living wage.",
Atmosphere,"Primarks submission shows some proof of real work that strategy level, projects are still at pilot or research stage will improve wages for workers making its clothes and and rely heavily on Ethical Trading Initiative (ETI) base code a high level of commitment and practice. However, at a rather than long-term building blocks to pay a living wage.",
Cedarwood State,"Primarks submission shows some proof of real work that strategy level, projects are still at pilot or research stage will improve wages for workers making its clothes and and rely heavily on Ethical Trading Initiative (ETI) base code a high level of commitment and practice. However, at a rather than long-term building blocks to pay a living wage.",
B&W,"Primarks submission shows some proof of real work that strategy level, projects are still at pilot or research stage will improve wages for workers making its clothes and and rely heavily on Ethical Trading Initiative (ETI) base code a high level of commitment and practice. However, at a rather than long-term building blocks to pay a living wage.",
Denim Co.,"Primarks submission shows some proof of real work that strategy level, projects are still at pilot or research stage will improve wages for workers making its clothes and and rely heavily on Ethical Trading Initiative (ETI) base code a high level of commitment and practice. However, at a rather than long-term building blocks to pay a living wage.",
Love to Lounge,"Primarks submission shows some proof of real work that strategy level, projects are still at pilot or research stage will improve wages for workers making its clothes and and rely heavily on Ethical Trading Initiative (ETI) base code a high level of commitment and practice. However, at a rather than long-term building blocks to pay a living wage.",
Young Dimension,"Primarks submission shows some proof of real work that strategy level, projects are still at pilot or research stage will improve wages for workers making its clothes and and rely heavily on Ethical Trading Initiative (ETI) base code a high level of commitment and practice. However, at a rather than long-term building blocks to pay a living wage.",
No Secret,"Primarks submission shows some proof of real work that strategy level, projects are still at pilot or research stage will improve wages for workers making its clothes and and rely heavily on Ethical Trading Initiative (ETI) base code a high level of commitment and practice. However, at a rather than long-term building blocks to pay a living wage.",
Ocean Club,"Primarks submission shows some proof of real work that strategy level, projects are still at pilot or research stage will improve wages for workers making its clothes and and rely heavily on Ethical Trading Initiative (ETI) base code a high level of commitment and practice. However, at a rather than long-term building blocks to pay a living wage.",
Secret Possessions,"Primarks submission shows some proof of real work that strategy level, projects are still at pilot or research stage will improve wages for workers making its clothes and and rely heavily on Ethical Trading Initiative (ETI) base code a high level of commitment and practice. However, at a rather than long-term building blocks to pay a living wage.",
Promod,"We are pleased that Promod is willing to work on the question of a living wage and recognises it as the next step in its CSR supply-chain policy. Linking this to increased productivity can be an incentive for buyers, but this cannot be the only answer offered to workers, who have to be paid a decent wage regardless of the need for companies to meet market prices.",
Puma,"Puma is engaging in work on a number of topics. It has adopted a credible living-wage benchmark (the Asia Floor Wage) as part of its wage ladder approach. There is still some way to go, though, on strategy for how to deliver this to its suppliers  productivity wont cut it.",
Cobra Golf,"Puma is engaging in work on a number of topics. It has adopted a credible living-wage benchmark (the Asia Floor Wage) as part of its wage ladder approach. There is still some way to go, though, on strategy for how to deliver this to its suppliers  productivity wont cut it.",
Tretorn,"Puma is engaging in work on a number of topics. It has adopted a credible living-wage benchmark (the Asia Floor Wage) as part of its wage ladder approach. There is still some way to go, though, on strategy for how to deliver this to its suppliers  productivity wont cut it.",
Replay,"Replay does not accept the principle of a living wage in its policy and is doing no work to ensure that workers who make its products earn enough to live on. Simple compliance with the minimum wage is a legal duty, but the human right to a living wage is a responsibility that Replay must take steps to ensure. No evidence of this work is yet available.",
Replay & Sons,"Replay does not accept the principle of a living wage in its policy and is doing no work to ensure that workers who make its products earn enough to live on. Simple compliance with the minimum wage is a legal duty, but the human right to a living wage is a responsibility that Replay must take steps to ensure. No evidence of this work is yet available.",
Red Seal,"Replay does not accept the principle of a living wage in its policy and is doing no work to ensure that workers who make its products earn enough to live on. Simple compliance with the minimum wage is a legal duty, but the human right to a living wage is a responsibility that Replay must take steps to ensure. No evidence of this work is yet available.",
We are replay,"Replay does not accept the principle of a living wage in its policy and is doing no work to ensure that workers who make its products earn enough to live on. Simple compliance with the minimum wage is a legal duty, but the human right to a living wage is a responsibility that Replay must take steps to ensure. No evidence of this work is yet available.",
White Seal,"Replay does not accept the principle of a living wage in its policy and is doing no work to ensure that workers who make its products earn enough to live on. Simple compliance with the minimum wage is a legal duty, but the human right to a living wage is a responsibility that Replay must take steps to ensure. No evidence of this work is yet available.",
S.Oliver,This company did not respond to our request for information and has no relevant information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.,
Switcher,"Switcher is committed to paying a living wage and uses the Asia Floor Wage as a benchmark. The company is collaborating with the Fair Wage Foundation (FWF) on ways to implement payment of a living wage and has initiated a project in Bangladesh to raise wages through creating a solidarity fund. Overall, Switcher has helped push forward the international debate on a living wage and is working on this important topic throughout its supply chain.",
Whale,"Switcher is committed to paying a living wage and uses the Asia Floor Wage as a benchmark. The company is collaborating with the Fair Wage Foundation (FWF) on ways to implement payment of a living wage and has initiated a project in Bangladesh to raise wages through creating a solidarity fund. Overall, Switcher has helped push forward the international debate on a living wage and is working on this important topic throughout its supply chain.",
Colours of the World,"Takko is planning to start some interesting work to move towards payment of a living wage, but hasnt got there yet. It has been given credit for adopting living-wage benchmarks.",
Flame,"Takko is planning to start some interesting work to move towards payment of a living wage, but hasnt got there yet. It has been given credit for adopting living-wage benchmarks.",
Crazy World,"Takko is planning to start some interesting work to move towards payment of a living wage, but hasnt got there yet. It has been given credit for adopting living-wage benchmarks.",
Maxi Blue,"Takko is planning to start some interesting work to move towards payment of a living wage, but hasnt got there yet. It has been given credit for adopting living-wage benchmarks.",
Chapter,"Takko is planning to start some interesting work to move towards payment of a living wage, but hasnt got there yet. It has been given credit for adopting living-wage benchmarks.",
Southern,"Takko is planning to start some interesting work to move towards payment of a living wage, but hasnt got there yet. It has been given credit for adopting living-wage benchmarks.",
Crash One,"Takko is planning to start some interesting work to move towards payment of a living wage, but hasnt got there yet. It has been given credit for adopting living-wage benchmarks.",
Dognose,"Takko is planning to start some interesting work to move towards payment of a living wage, but hasnt got there yet. It has been given credit for adopting living-wage benchmarks.",
Dopodopo,"Takko is planning to start some interesting work to move towards payment of a living wage, but hasnt got there yet. It has been given credit for adopting living-wage benchmarks.",
TCM (Tchibo Certified Merchandise),Some promising work. Tchibo has adopted a credible living-wage benchmark and is working systematically with factories to improve relations between management and workers. Some work on calculating how to pay living wage in costings was also mentioned.,
F&F,"
Tescos approach of aiming to pay more than the minimum wage and above average for the 
industry is a far cry from a living-wage plan. Work on improving factory efficiency will only improve 
wages so far. Bigger thinking is needed from a buyer with this sort of market power.
",
Tods,"Tods did not respond to our request for information, and makes no information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.",
Hogan,"Tods did not respond to our request for information, and makes no information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.",
Fay,"Tods did not respond to our request for information, and makes no information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.",
Roger Vivier,"Tods did not respond to our request for information, and makes no information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.",
Versace,"Versace says it produces 82% of its goods in Italy, 7% in Production overview: other European countries and just 2% in Asia. However, we Number of suppliers: 167 first-tier suppliers would not consider Italy to be a low risk country in terms Main production countries listed as: Italy (82%), of labour rights. Little evidence was given of work to ensure Other European Countries (7%), India (1%), China (2%) that workers making Versace products have their rights Versace does not publish a full public list of the names respected. More engagement is needed than issuing a paper and addresses of its supplier factories. code of conduct.",448
7 For All Mankind,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",
Ella Moss,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",103
Bulwark,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",
Lee,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",449
Rustler,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",456
Majestic,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",451
Nautica,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",452
JanSport,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",
Wrangler,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",459
Eagle Creek,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",
The North Face,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",
SmartWool,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",457
Riders By Lee,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",
Reef,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",453
Kipling,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",
Red Kap,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",
Horace Small,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",
Splendid,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",104
Timberland,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",
Lucy,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",450
Napapijri,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",
Eastpak,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",
Vans,"VF doesnt recognise the principle of a living wage as part of its responsibility or policy. Company engagement in local education and health projects is all very well, but does not solve the problem of poverty. It is embarrassing that a company of this size is not engaging in this important issue.",458
Louis Vuitton,"Vuitton did not respond to our request for information, and makes no information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.",
WE,"Sound familiar? Like Lidl, Aldi, IC Companys and others, WE has simply repeated the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided by this company indicated to us a serious engagement in the need to increase pay to a living-wage level.",
Blue Ridge,"Sound familiar? Like Lidl, Aldi, IC Companys and others, WE has simply repeated the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided by this company indicated to us a serious engagement in the need to increase pay to a living-wage level.",
Louis Vitton,,265
